title,slug,category,description,headerImage,credit,artist_ids,gene_ids,tag_id,keyword,price_guidance,show_on_editorial
Andy Warhol: Leonardo da Vinci,andy-warhol-leonardo-da-vinci,Pop Art,"<p>In 1963, <a href=""https://www.artsy.net/artist/leonardo-da-vinci"">Leonardo da Vinci</a>’s The Mona Lisa was exhibited for the first time in New York, launching a media frenzy that caught the attention of <a href=""https://www.artsy.net/artist/andy-warhol"">Andy Warhol</a>. Amused by the hype of the portrait, Warhol unveiled his own version of the art historical sensation, repeating her smiling face 30 times in <i>Thirty Are Better Than One</i> (1963). In the 1980s, Warhol returned to the greats of art history, obsessively creating his own Pop renditions of masterworks by the Renaissance painters <a href=""https://www.artsy.net/artist/sandro-botticelli"">Sandro Botticelli</a>, <a href=""https://www.artsy.net/artist/piero-della-francesca"">Piero Della Francesca</a>, <a href=""https://www.artsy.net/artist/lucas-cranach-the-elder"">Lucas Cranach the Elder</a>, and <a href=""https://www.artsy.net/artist/paolo-uccello"">Paolo Uccello</a>, as well as the Modern icons <a href=""https://www.artsy.net/artist/giorgio-de-chirico"">Giorgio de Chirico</a>, <a href=""https://www.artsy.net/artist/henri-matisse"">Henri Matisse</a>, <a href=""https://www.artsy.net/artist/edvard-munch"">Edvard Munch</a>, and <a href=""https://www.artsy.net/artist/pablo-picasso"">Pablo Picasso</a>. Through his reproductions of iconic works, Warhol showed that a famous artwork can be just as commoditized as a can of <a href=""https://www.artsy.net/collection/andy-warhol-campbells-soup-can"">Campbell’s soup</a>.</p>",http://files.artsy.net/images/andywarholleonardodavinci.png,"<p>&copy; Andy Warhol / Artist Rights Society (ARS), New York, NY.</p>",4d8b92b34eb68a1b2c0003f4,,,"Leonardo da Vinci, Mona Lisa, Last Supper, Annunciation",,
Andy Warhol: Mona Lisa,andy-warhol-mona-lisa,Pop Art,"<p>In 1963, <a href=""https://www.artsy.net/artist/leonardo-da-vinci"">Leonardo da Vinci</a>’s The Mona Lisa was exhibited for the first time in New York, launching a media frenzy that caught the attention of <a href=""https://www.artsy.net/artist/andy-warhol"">Andy Warhol</a>. Amused by the hype of the portrait, Warhol unveiled his own version of the art historical sensation, repeating her smiling face 30 times in <i>Thirty Are Better Than One</i> (1963). In the 1980s, Warhol returned to the greats of art history, obsessively creating his own Pop renditions of masterworks by the Renaissance painters <a href=""https://www.artsy.net/artist/sandro-botticelli"">Sandro Botticelli</a>, <a href=""https://www.artsy.net/artist/piero-della-francesca"">Piero Della Francesca</a>, <a href=""https://www.artsy.net/artist/lucas-cranach-the-elder"">Lucas Cranach the Elder</a>, and <a href=""https://www.artsy.net/artist/paolo-uccello"">Paolo Uccello</a>, as well as the Modern icons <a href=""https://www.artsy.net/artist/giorgio-de-chirico"">Giorgio de Chirico</a>, <a href=""https://www.artsy.net/artist/henri-matisse"">Henri Matisse</a>, <a href=""https://www.artsy.net/artist/edvard-munch"">Edvard Munch</a>, and <a href=""https://www.artsy.net/artist/pablo-picasso"">Pablo Picasso</a>. Through his reproductions of iconic works, Warhol showed that a famous artwork can be just as commoditized as a can of <a href=""https://www.artsy.net/collection/andy-warhol-campbells-soup-can"">Campbell’s soup</a>.</p>",http://files.artsy.net/images/andywarholmonalisa.png,"<p>&copy; Andy Warhol / Artist Rights Society (ARS), New York, NY.</p>",4d8b92b34eb68a1b2c0003f4,,,"Mona Lisa, References to the Mona Lisa",,
Gerhard Richter: Abstractions ,gerhard-richter-squeegee-paintings-and-prints ,Abstract Art,"<p>In 1986, <a href=""https://www.artsy.net/artist/gerhard-richter"">Gerhard Richter</a> discovered a new way to create abstractions. Instead of using paintbrushes, the German artist would use a janitorial squeegee to drag, smear, and scrape layers of wet paint across the canvas. “With a brush you have control,” Richter once explained. “The paint goes on the brush and you make the mark...with the squeegee you lose control.” The radical technique inspired filmmaker Corinna Belz to create her fly-on-the-wall documentary <i>Gerhard Richter Painting</i> (2011), combining three years of studio footage to capture the creation of these squeegee canvases. Among the artist’s most iconic series, Richter’s squeegee paintings have reached record sums at auction. In 2015, Richter earned the title of most expensive living European artist when his squeegee painting <i>Abstraktes Bild (599)</i> (1986) sold for over $46 million with fees at a Sotheby’s auction. Richter’s innovations in abstract art—from his early gridded paintings and color charts to his recent squeegee paintings and flowing compositions—have even inspired museum exhibitions, such as “Gerhard Richter: Abstraction” at Germany’s Museum Barberini in 2018.</p>",http://files.artsy.net/images/gerhardrichterabstractions.png,"<p>Gerhard Richter, <i>Haggadah (P2)</i>, 2014. Courtesy of David Benrimon Fine Art.</p>",4df69349bc3cf10001000726,,,Abstract,,
KAWS: Astroboy,kaws-astroboy,Collectible Sculptures,"<p>Brian Donnelly, the ex-Disney illustrator better known as <a href=""https://www.artsy.net/artist/kaws"">KAWS</a>, created his first vinyl <a href=""https://www.artsy.net/collection/kaws-toys"">toy</a> in 1999: an eight-inch “<a href=""https://www.artsy.net/collection/kaws-companions"">Companion</a>” whose round belly, noodly limbs, and white gloves immediately reminded viewers of the cartoons made famous by his former workplace. The limited edition toy, produced in collaboration with the Japanese brand Bounty Hunter, reflected KAWS’s desire to make his work more accessible to the public. In the years since, KAWS has rendered most of his signature characters in three dimensions, including <a href=""https://www.artsy.net/collection/kaws-chum"">Chum</a>, Bendy, and <a href=""https://www.artsy.net/collection/kaws-blitz"">Blitz</a>, as well as his renditions of iconic cartoons like <a href=""https://www.artsy.net/collection/kaws-tweety"">Tweety</a>, <a href=""https://www.artsy.net/collection/kaws-snoopy"">Snoopy</a>, and <a href=""https://www.artsy.net/collection/kaws-pinocchio"">Pinocchio</a>. When first released, these sculptures often sell out in just seconds. When the Museum of Modern Art promoted KAWS’s toys in its design store, collector demand was so high that the museum’s website crashed multiple times.</p>",http://files.artsy.net/images/kawsastroboy.png,"<p>KAWS, <i>Astroboy (Grey)</i>, 2013. Courtesy of Lougher Contemporary.</p>",4e934002e340fa0001005336,,,"Astroboy, Astro boy",,
Andy Warhol: Celebrity Portraits,andy-warhol-celebrity-portraits,Pop Art,"<p>Long before his iconic <a href=""https://www.artsy.net/collection/andy-warhol-portraits"">portraits</a> of the rich and famous cemented him as a household name, <a href=""https://www.artsy.net/artist/andy-warhol"">Andy Warhol</a> spent his childhood collecting celebrity autographs and decorating his room with photos torn from tabloid magazines. His fixation on celebrities only continued when he moved to New York to become an illustrator for <i>Glamour</i> magazine and endured through his career as a Pop artist. Starlets, politicians, athletes—Warhol captured them all. “I’ll paint anybody. Anybody that asks me. I just try to make people look good,” he once <a href=""https://www.theguardian.com/artanddesign/2008/oct/06/andywarhol.art"">said</a>. To create his portraits, Warhol used a semi-mechanized silkscreen process that allowed him to mass-produce images of his subjects. Critics have long observed that his technique mirrors the nature of celebrity itself, where icons like <a href=""https://www.artsy.net/collection/andy-warhol-mick-jagger"">Mick Jagger</a>, <a href=""https://www.artsy.net/collection/andy-warhol-marilyn-monroe"">Marilyn Monroe</a>, Judy Garland, and <a href=""https://www.artsy.net/collection/andy-warhol-elvis-presley"">Elvis Presley</a> have become commodities to be bought and sold.</p>",http://files.artsy.net/images/warholmarilyn.png,"<p>&copy; Andy Warhol / Artist Rights Society (ARS), New York, NY.</p>",4d8b92b34eb68a1b2c0003f4,celebrity-portrait,,,1000,TRUE
Artist Posters,artist-posters,Artist Posters,,http://files.artsy.net/images/artistposterskeithharing.png,"<p>Keith Haring, <i>Act Up / Ignorance = Fear</i>, 1989. Courtesy of Rennert’s Gallery.</p>",,"prints, poster",,Poster,,
David Hockney: Posters,david-hockney-posters,Artist Posters,"<p>“The poster can be a marvelous reproduction, better than anything in a book,” <a href=""https://www.artsy.net/artist/david-hockney"">David Hockney</a> <a href=""https://www.nytimes.com/1999/03/14/arts/art-architecture-affordable-hockney-playing-the-promoter.html"">wrote</a> in his 1993 autobiography. “And if you print them well and take the photographs of the paintings well, the posters are worth keeping, people might like them; they can pin them on a wall.” While many of Hockney’s posters feature reproductions of his famous works, others boast entirely new designs. For example, the British Pop artist often produced original posters to promote operas and ballets, especially when he designed the sets for these productions. Perhaps the most famous collector of David Hockney’s posters is Brian Baggott, a former British Airways employee who befriended Hockney in the 1970s. Since he could not afford an original painting or print, Baggot collected more than 200 posters by the artist over the course of 25 years. “I wrote to every gallery ever mentioned in the back of a Hockney catalogue to see if they’d done a poster,” he once <a href=""https://www.nytimes.com/1999/03/14/arts/art-architecture-affordable-hockney-playing-the-promoter.html"">explained</a>. “It had become a bit of an obsession, rather like schoolboys with stamps.” In 1999, his obsession paid off—Baggott’s collection of Hockney posters sold for over $100,000 at a Christie’s auction.</p>",http://files.artsy.net/images/davidhockneyposters.png,"<p>David Hockney, <i>Retrospective 1988</i>, 1988. Courtesy of Roshkowska Galleries.</p>",4d8b92854eb68a1b2c0001b6,,,Poster,,
Robert Longo: Waves,robert-longo-waves,Contemporary,"<p>“The shape of a wave is not necessarily dictated by how strong the wind is,” Robert Longo once <a href=""http://stevemiller.com/wp-content/uploads/2016/08/Robert-Longo-PDF.pdf"">explained</a>. “It’s dictated by what’s deep underneath it. It’s like psychoanalysis.” Longo began drawing towering waves in 1999, using his signature hyperrealistic technique to transform black-and-white charcoal into thunderous ocean forms. At this time, Longo was fascinated by phenomena that only seem to exist for an instant, such as crashing waves, prowling sharks, and exploding bombs. By capturing these moments in precise detail, Longo aimed to add a sense of beauty to these sublime yet terrifying forces of nature. While Longo titled his series of wave drawings “Monsters” after their intimidating grandeur, he also named each individual work after a popular surfing beach or phrase, such as <i>Angel’s Wing</i>, <i>Hell’s Gate</i>, <i>Dragon Head</i>, and <i>Black Tube</i>.</p>",http://files.artsy.net/images/robert-longo-wave.png,"<p>Robert Longo, <i>Wave</i>, 2003. Courtesy of Elizabeth Clement Fine Art.</p>",4d9b3253ff9a375c2f003185,,,"Wave, Hell's Gate, Godzilla, Serpent's Tongue, Thunder Road, Dragon's Head, The Face, The Box, Angel's Wing, Ariane, The Ledge, Pipeline, Phoenix, Monsters, Throne Room",,
Exhibition Posters,exhibition-posters,Artist Posters,"<p>Exhibition posters are a great way to collect a piece of art history, from vintage prints advertising the first Impressionist salons to more recent posters celebrating <a href=""https://www.artsy.net/artist/kerry-james-marshall"">Kerry James Marshall</a>’s first museum retrospective. Many artists—including <a href=""https://www.artsy.net/artist/robert-rauschenberg"">Robert Rauschenberg</a>, <a href=""https://www.artsy.net/artist/roy-lichtenstein"">Roy Lichtenstein</a>, and <a href=""https://www.artsy.net/artist/keith-haring"">Keith Haring</a>—are famous for designing their own exhibition posters, viewing these prints as an extension of shows at galleries and museums. When first released, these prints are often low in cost (or free entirely), but they can rise in value when the featured artist grows in popularity. For example, Lichtenstein’s exhibition poster <i>Shipboard Girl</i> (1965), which might have sold for $5 or $10 at his opening show at Leo Castelli Gallery, has since reached over $50,000 at auction.</p>",http://files.artsy.net/images/jeanmichelbasquiatposters.png,"<p>&copy; Jean-Michel Basquiat / Artist Rights Society (ARS), New York, NY.</p>",,"prints, poster",,"Exhibition Poster, Exhibition Posters",,
Richard Anuszkiewicz: Inward Eye Portfolio,richard-anuszkiewicz-inward-eye-portfolio,Abstract Art,"<p><a href=""https://www.artsy.net/artist/richard-anuszkiewicz"">Richard Anuszkiewicz</a> realized the vibrantly-hued “Inward Eye” portfolio in 1970 after a friend told him that his work reminded him of the great 18th-century poet William Blake. The 10 optical screenprints in the series are filled with geometric shapes that seem to expand and contract infinitely—a visual nod to Blake’s work, which sought to recognize the divinity created by chance in the natural world rather than by a mythical creator. With names like <i>Burning Bright</i>, <i>Divine Body</i>, and <i>Sun’s Light</i>, Anuszkiewicz’s works challenge viewers to gaze upon them to “hold infinite in the palm of your hand,” in the words of Blake. Prints from the “Inward Eye” portfolio are held in the collections of several major museums, including the SFMOMA and the Whitney Museum.</p>",http://files.artsy.net/images/richard-anuszkiewicz-inward-eye.png,"<p>Richard Anuszkiewicz, <i>Inward Eye #4</i>, 1970. Courtesy of RoGallery.</p>",4e8e0707e35d41000100458e,,,Inward Eye,,
Richard Anuszkiewicz: Translumina Series,richard-anuszkiewicz-rranslumina-series,Abstract Art,"<p>In the “Translumina Series,” <a href=""https://www.artsy.net/artist/richard-anuszkiewicz"">Richard Anuszkiewicz</a> turned to sculptural materials like wood relief, aluminum and steel sheets, and bronze tubing for the first time. Working in three dimensions, Anuszkiewicz constructed shaped canvases for his optical illusions, painting them with thin stripes of interweaving colors to create a sense of vibration in the viewer’s eye. “The ideas I work on are essentially timeless,” the artist once said. “Working with basic ideas will always be exciting, and if color or form is visually exciting in any profound sense, it will be that way ten or twenty years from now also.” Anuskiewitz also reimagined the “basic ideas” of the “Translumina Series” as prints, transforming many of the sculptural compositions into silkscreens. In 1986, the artist even created a “Translumina” print for one of his “Annuals” gifts—a series of prints that he would give to friends and family each year and would not sell to the public.</p>",http://files.artsy.net/images/richard-anuszkiewicz-translumina.png,"<p>Richard Anuszkiewicz, <i>Translumina – Midnight II</i>, 1994–2012. Courtesy of David Richard Gallery.</p>",4e8e0707e35d41000100458e,,,Translumina,,
Salvador Dalí: Bronze Sculptures and Furniture,salvador-dali-bronze-sculptures-furniture,Modern,"<p>In <a href=""https://www.artsy.net/artist/salvador-dali"">Salvador Dalí</a>’s autobiography, <i>La Vie Secrète</i>, the artist recounts creating his first sculpture as a grade-school child: a model of the goddess Venus that adorned his pencil case. Today, Salvador Dalí’s most celebrated Surrealist symbols—<a href=""https://www.artsy.net/collection/salvador-dali-melting-clocks"">melting clocks</a>, <a href=""https://www.artsy.net/collection/salvador-dali-horses"">horses</a>, eyes, angels, and more—can be discovered cast in bronze, with designs often directly inspired by his own paintings and prints. In addition to his bronze sculptures, Dalí had a penchant for creating bronze designs for the home, including chairs, clocks, menorahs, lamps, and tables. Many of his furniture designs bring motifs from his paintings to life. For example, his sinuous Leda armchair is meticulously crafted from his 1935 painting, <i>Femme á la Téte Rose</i>, which showcases the delicate, three-legged chair in the foreground.</p>",http://files.artsy.net/images/salvador-dali-bronze.png,"<p>&copy; Salvador Dalí / Artist Rights Society (ARS), New York, NY.</p>",4dadcce67129f059240009df,Bronze,,,,
James Rosenquist: Tripartite Series,james-rosenquist-tripartite-series,Pop Art,"<p>Drawn to the teachings of the Zen philosopher Sengai Gibon, <a href=""https://www.artsy.net/artist/james-rosenquist"">James Rosenquist</a> believed that the world could be entirely represented with three simple shapes: the circle, the triangle, and the square. As Zen teaching goes, the circle represents infinite and the basis of life itself, the triangle symbolizes the beginning of all forms, and the square—the triangle doubled—manifests the multiplicity of forms that comprise the entire multidimensional universe. Rosenquist’s “Tripartite Series” of etchings and lithographs cheekily reappropriates this Zen trifecta with a distinctly American spin, engaging with the artist’s long-time themes of technology, commercialism, and American culture. In Rosenquist’s “Tripartite” prints, circles bloom into spoked wheels and warp into cosmic bodies, triangles become Egyptian pyramids or overlap to form the Star of David, and squares transform into cookie-cutter houses fit for the American dream. Created during the 1970s at the peak of the artist’s immersion in printmaking, Rosenquist’s “Tripartite Series” spans dozens of prints, each encoded with distinct references of American life.</p>",http://files.artsy.net/images/james-rosenquist-etching.png,"<p>James Rosenquist, <i>SPOKES</i>, 1997. Courtesy of Gallery Art.</p>",4d8b92724eb68a1b2c000108,,Tripartite Series,,,
